年月日,10分間降水量の最大(mm),降水量の合計(mm),平均風速(m/s),最大風速(m/s),平均気温(℃),最高気温(℃),最低気温(℃)
2021/10/5,0,0,1.9,4.4,22.8,26.7,18.5
2021/10/6,0,0,2.5,5.4,21.4,27.1,17
2021/10/7,0,0,2.1,4.3,22.5,27.7,16.7
2021/10/8,0,0,1.7,5.1,23.4,28.5,18.9
2021/10/9,0,0,1.8,4.6,23.5,28.6,18.8
2021/10/10,0,0,1.8,5.3,23.6,27.9,19.3
2021/10/11,0,0,1.4,4,23.4,26.2,20.8
2021/10/12,0,0,3.6,5.3,22.4,27.1,20.4
2021/10/13,0,0,3.3,4.9,21.8,25.1,19.7
2021/10/14,0,0,2.8,4.6,20.7,25.4,17
2021/10/15,0,0,2.1,4.2,20.2,26.1,15.1
2021/10/16,5,8,2.1,7.2,20.1,24.8,15
2021/10/17,1,7.5,3.2,6.8,14.4,17.6,10.6
2021/10/18,0,0,2.1,5.7,13.2,18.6,8.1
2021/10/19,0,0,2,5.4,14.8,19.1,11.9
2021/10/20,0,0,2.5,6.1,12.6,16.8,9.4
2021/10/21,0,0,1.5,4.5,12.2,17.7,8.1
2021/10/22,0,0,2.3,5.5,13.8,19.6,9.3
2021/10/23,0,0,2.6,7.5,12.7,17.6,8.6
2021/10/24,0,0,1.4,3.7,11.5,16.6,5.7
2021/10/25,1,29,1.9,4.8,12,13.8,10.3
2021/10/26,0,0,2.2,4.9,14.9,20.5,10.5
2021/10/27,0,0,1.4,3,14.2,19.5,9.5
2021/10/28,0,0,2.8,6.4,15.2,21,9.5
2021/10/29,0,0,3,7.3,13.9,19.2,9.8
2021/10/30,0,0,1.3,3.4,14.1,20.1,7.3
2021/10/31,0.5,2,1.3,2.7,15.3,19.7,12.2
2021/11/1,0,0,1.6,3.6,16,21.1,11
2021/11/2,0,0,1.7,4,15.4,20.8,11.1
2021/11/3,0,0,1.9,4.1,14,20.9,8.3
2021/11/4,0,0,1.8,5,13.7,20.2,8.9
2021/11/5,0,0,1.7,3.9,13.3,19.7,7.9
2021/11/6,0,0,1.6,3.2,13.1,18.7,7.5
2021/11/7,0,0,3.4,6.7,15.6,21.6,10.4
2021/11/8,1,3,2.2,4.2,18.3,23.1,14.2
2021/11/9,2.5,16.5,1.6,4,13.3,15.6,9.2
2021/11/10,2,9.5,3.2,8.1,10.5,13.6,8.4
2021/11/11,2,2,2.2,7.1,10.9,15.3,7.2
2021/11/12,0.5,0.5,2.1,6.3,9.6,14.4,5.8
2021/11/13,0,0,1.4,4.9,9.9,13.8,4.7
2021/11/14,0,0,1.5,5.4,11.5,15.8,7.4
2021/11/15,0,0,1.7,3.7,11.7,17.3,5.8
2021/11/16,0,0,1.7,4.3,12,16.8,6.5
2021/11/17,0,0,1.4,4,11.6,17.1,7.2
2021/11/18,0,0,1.6,4.5,11.6,16.9,7.8
2021/11/19,0,0,1.3,3.5,11.3,17.6,6.1
2021/11/20,0,0,2.1,5.1,12,18.6,6.3
2021/11/21,0,0,1.5,2.8,11.9,17,5.8
2021/11/22,1.5,19,2.6,7.7,13.4,17.1,9.2
2021/11/23,0,0,2.9,8.1,7.5,10.4,4.9
2021/11/24,0,0,2.7,7.6,8.1,12.2,3.9
2021/11/25,0,0,1.5,5,10.9,14.7,6.6
2021/11/26,0,0,2.5,6.5,11.1,16.1,7.2
2021/11/27,0,0,2,5.4,6.2,10.3,2.6
2021/11/28,0,0,1.5,5.5,6.4,13.2,1.3
2021/11/29,0,0,1.8,4,6.9,13.4,0.6
2021/11/30,10.5,53.5,2.4,6.3,11.3,18.1,2.7
2021/12/1,1,5.5,4.8,8.4,8.3,12.8,3.2
